name,x,y
alter chilerai,1251570.8158359001,2691243.0998922493
altwiesenstrasse,1252174.557672575,2690091.425070815
birkenstrasse,1252677.1622940502,2689602.9288784233
bruggwiesenstrasse,1252854.9741606943,2689798.455097272
brüttisellenstrasse,1251906.0420274327,2690740.230205964
brüttiseller kreuz,1252611.2527867234,2689796.142108728
büelacherweg,1253255.5991163247,2690466.938351224
chilerai,1251525.619236133,2691307.7341560903
chileweg,1253062.4736810247,2690266.757816896
chüeweg,1251233.7273349557,2691220.4942582604
dorfstrasse,1253161.266604978,2690050.8982314845
dörfli a,1253519.2256506516,2690128.2803134914
dörfli c,1253489.1773458992,2690182.8563258033
dübendorfstrasse,1251663.8927293036,2690815.4424969605
effretikonstrasse,1251864.190128036,2691616.664047413
eichstrasse,1253413.675019571,2689988.6932525504
fabrikweg,1252966.4854526103,2689654.5283995452
flugsicherungsstrasse,1251455.15190992,2690384.053816678
förliwiesenstrasse,1251954.4341931003,2690361.0755075775
gerenstrasse,1252112.1843514019,2690788.194470791
gsellstutz,1253014.6530517787,2689918.3909853753
hagenbuchenweg,1251494.3932984045,2691406.1364993323
haldenrain,1252586.5994081139,2690114.0291406796
haldenstrasse,1252558.6758890115,2690159.052118546
hegnaustrasse,1251568.1517702572,2691169.776981456
heugasse,1252094.2779938376,2690887.1327060424
hochrüti,1252083.8048184537,2691474.625024407
holzrai,1251857.27101832,2691269.551126977
im berg,1252272.6385455676,2691128.0821242128
im blattacher,1252077.032270758,2691106.1239539944
im brunnacher,1253461.111848493,2690071.0386785995
im bungert,1253240.7049205415,2690066.089674593
im bäumliacher,1251577.3153708882,2691371.279602324
im büel,1253266.6882108839,2690481.208940516
im chnebler,1252169.0159665695,2690908.075005862
im chrüzacher,1253294.8273545601,2689883.039800616
im dörnler,1251379.1693952107,2691286.570460144
im fasnachtbuck,1252309.6018898003,2690934.466817338
im oberdorf,1251524.4668248203,2691084.8850128334
im obstgarten,1252189.8969234717,2690732.531913304
im roggenacher,1253438.0334476344,2689783.658862453
im stutz,1251931.0631565924,2691328.495681869
im sunnebuck,1253292.6614021957,2689686.370217137
im talacher,1253355.611196815,2689706.9203720912
im tub,1252109.6497916384,2691152.305995432
im wygarte,1253062.4736810247,2690266.757816896
in hätzelwisen,1251726.5515246436,2690697.9419005993
in stierwisen,1251565.4335733517,2690851.980668846
in der fröhlichkeit,1253201.3736985996,2690540.3602166
juchstrasse,1251563.8841608218,2690811.1329637244
kindhausenstrasse,1251766.0940658182,2691612.077616183
lindenbuckstrasse,1253036.6409534118,2689697.446133961
lindenbuckweg,1253212.5742983096,2689466.9825906847
linth-escher-weg,1252645.8117144606,2689521.52387211
mühlegasse,1251919.6584845802,2690919.956450223
obere wangenstrasse,1253116.1329934406,2690443.876094077
pünten,1251121.2770165147,2691340.8715495374
rastplatz baltenswil-nord,1253286.654936031,2691178.270141156
riedmühlestrasse,1253230.5049750158,2689652.203362342
riedwiesenstrasse,1251641.5468199519,2690668.0182847995
ringstrasse,1252554.471933779,2689603.4078301853
roswis,1250955.0146742864,2691520.320661584
ruchstuckstrasse,1252641.521986389,2689874.9564688317
schulhausstrasse,1253329.2884960473,2690278.597674394
schüracherstrasse,1252860.1639566221,2690067.4648997867
schüracherstutz,1252782.1835885122,2690054.4350957144
sennhüttenstrasse,1253233.5715621174,2690006.319630159
sennhüttestrasse,1252167.8900311044,2691040.6139124013
sonnhalde,1252270.8396328208,2690822.482386173
stationsstrasse,1252848.8030504768,2689738.6252039326
stiegstrasse,1252107.6220830744,2690945.2794890874
strehlgasse,1251822.6838573702,2691015.0280368486
tubstrasse,1252125.4453982422,2691193.5803873274
unterdorfstrasse,1251940.057117569,2690889.250736724
verzweigung brüttisellen,1252461.148127647,2689829.088295142
weidstrasse,1251853.6314563872,2690361.980626005
wolfhaldenweg,1252664.8187277392,2690138.4892094154
zelglistrasse,1251599.4727794104,2690987.7208438935
zelgliweg,1251600.2800554896,2691084.903515599
zürichstrasse,1253145.3038379624,2689906.446451863
